,Title,Wage min,Wage max,Currency,Link,Source
95,Senior Data Engineer (DataPlatform team),0,0,0,https://nn.hh.ru/vacancy/69614008?from=vacancy_search_list&query=junior+python,hh
96,Системный аналитик (senior),0,0,0,https://nn.hh.ru/vacancy/75986685?from=vacancy_search_list&query=junior+python,hh
97,Младший инженер по тестированию ПО,0,70000,руб.,https://nn.hh.ru/vacancy/72659466?from=vacancy_search_list&query=junior+python,hh
98,"Младший специалист по продуктам (Технический пресейл, Linux)",90000,0,руб.,https://nn.hh.ru/vacancy/76091439?from=vacancy_search_list&query=junior+python,hh
99,Senior Python разработчик,0,0,0,https://nn.hh.ru/vacancy/73328848?from=vacancy_search_list&query=junior+python,hh
100,Python разработчик junior,30000,60000,руб.,https://nn.hh.ru/vacancy/76645865?from=vacancy_search_list&query=junior+python,hh
101,Junior Python Developer,40000,80000,руб.,https://nn.hh.ru/vacancy/76968728?from=vacancy_search_list&query=junior+python,hh
102,Junior / Middle Python разработчик,30000,100000,руб.,https://nn.hh.ru/vacancy/77019128?from=vacancy_search_list&query=junior+python,hh
103,Младший тестировщик (Junior QA),80000,0,руб.,https://nn.hh.ru/vacancy/77096089?from=vacancy_search_list&query=junior+python,hh
104,Python-разработчик (Junior),40000,60000,руб.,https://nn.hh.ru/vacancy/76729452?from=vacancy_search_list&query=junior+python,hh
105,Junior/middle js разработчик (удаленка),10000,150000,руб.,https://nn.hh.ru/vacancy/77014837?from=vacancy_search_list&query=junior+python,hh
106,Junior Python разработчик,60000,0,руб.,https://nn.hh.ru/vacancy/76886763?from=vacancy_search_list&query=junior+python,hh
107,Junior developer Python (отдел аналитики и разработки диагностических инструментов),0,0,0,https://nn.hh.ru/vacancy/76644828?from=vacancy_search_list&query=junior+python,hh
108,Machine Learning Engineer (Junior),0,80000,руб.,https://nn.hh.ru/vacancy/76494422?from=vacancy_search_list&query=junior+python,hh
109,Junior Data scientist (RecSys),0,0,0,https://nn.hh.ru/vacancy/76975464?from=vacancy_search_list&query=junior+python,hh
110,Junior DevOps,0,200000,руб.,https://nn.hh.ru/vacancy/70413506?from=vacancy_search_list&query=junior+python,hh
111,Junior Data Scientist,0,0,0,https://nn.hh.ru/vacancy/71582181?from=vacancy_search_list&query=junior+python,hh
112,Junior Python Developer (стажер),0,0,0,https://nn.hh.ru/vacancy/76852457?from=vacancy_search_list&query=junior+python,hh
113,Специалист по тестированию / QA engineer (Junior),40000,0,руб.,https://nn.hh.ru/vacancy/76968641?from=vacancy_search_list&query=junior+python,hh
114,"Разработчик (junior) на Python / web программист в SaaS-сервис, удалённо",35000,0,руб.,https://nn.hh.ru/vacancy/76753345?from=vacancy_search_list&query=junior+python,hh
115,Младший аналитик Группы суверенных и региональных рейтингов,0,80000,руб.,https://nn.hh.ru/vacancy/76870828?from=vacancy_search_list&query=junior+python,hh
116,Исследователь-стажер,0,0,0,https://nn.hh.ru/vacancy/76768731?from=vacancy_search_list&query=junior+python,hh
117,Junior разработчик LowCode-приложений на базе Naumen SMP,0,0,0,https://nn.hh.ru/vacancy/76296125?from=vacancy_search_list&query=junior+python,hh
118,Тестировщик ПО \ QA junior,0,0,0,https://nn.hh.ru/vacancy/77027801?from=vacancy_search_list&query=junior+python,hh
119,QA Engineer (Junior),0,0,0,https://nn.hh.ru/vacancy/76590365?from=vacancy_search_list&query=junior+python,hh
120,Тимлид в команду разработки на Java,0,0,0,https://nn.hh.ru/vacancy/77085741?from=vacancy_search_list&query=junior+python,hh
121,Тимлид в команду разработки на Java,0,0,0,https://nn.hh.ru/vacancy/75964100?from=vacancy_search_list&query=junior+python,hh
122,Lead Technical Designer,0,0,0,https://nn.hh.ru/vacancy/77123722?from=vacancy_search_list&query=junior+python,hh
123,Senior Technical Designer,0,0,0,https://nn.hh.ru/vacancy/77020404?from=vacancy_search_list&query=junior+python,hh
124,Lead Technical Designer,0,0,0,https://nn.hh.ru/vacancy/77123533?from=vacancy_search_list&query=junior+python,hh
125,Руководитель направления Аналитический центр (Разработка новых продуктов и методология),0,0,0,https://nn.hh.ru/vacancy/76596962?from=vacancy_search_list&query=junior+python,hh
126,Инженер-программист АСУ ТП,120000,0,руб.,https://nn.hh.ru/vacancy/76699319?from=vacancy_search_list&query=junior+python,hh
127,Ведущий инженер по сопровождению,0,0,0,https://nn.hh.ru/vacancy/76910779?from=vacancy_search_list&query=junior+python,hh
128,"Senior Consultant, Data Scientist, Technology Group",0,0,0,https://nn.hh.ru/vacancy/52581749?from=vacancy_search_list&query=junior+python,hh
129,IT Support Specialist,0,0,0,https://nn.hh.ru/vacancy/76866540?from=vacancy_search_list&query=junior+python,hh
130,Ведущий инженер-программист ПЛИС,0,0,0,https://nn.hh.ru/vacancy/42720342?from=vacancy_search_list&query=junior+python,hh
131,Специалист по модернизации бизнес приложений,0,0,0,https://nn.hh.ru/vacancy/75954007?from=vacancy_search_list&query=junior+python,hh
132,Head of Validation Various Models vacancy of the Risk Technology Tribe (Azerbaijan),5000,10000,AZN,https://nn.hh.ru/vacancy/76702865?from=vacancy_search_list&query=junior+python,hh
133,Property Listing & Data Manager,0,0,0,https://nn.hh.ru/vacancy/76710440?from=vacancy_search_list&query=junior+python,hh
134,Актуарий (удаленная работа) — Группа по предоставлению актуарных решений,0,0,0,https://nn.hh.ru/vacancy/76705696?from=vacancy_search_list&query=junior+python,hh
135,Актуарий (удаленная работа) — Группа по предоставлению актуарных решений,0,0,0,https://nn.hh.ru/vacancy/76705697?from=vacancy_search_list&query=junior+python,hh
136,Актуарий (удаленная работа) — Группа по предоставлению актуарных решений,0,0,0,https://nn.hh.ru/vacancy/76705695?from=vacancy_search_list&query=junior+python,hh
137,Риск-менеджер кибербезопасности,0,0,0,https://nn.hh.ru/vacancy/74371860?from=vacancy_search_list&query=junior+python,hh
138,Full Stack Developer (Java),200000,0,руб.,https://nn.hh.ru/vacancy/76608362?from=vacancy_search_list&query=junior+python,hh
139,Senior Technical Designer,0,0,0,https://nn.hh.ru/vacancy/74324304?from=vacancy_search_list&query=junior+python,hh
